date,station,special,first,second,third,fourth,fifth,sixth,seventh,eighth
2009-02-13,Ninh Thuận,97088,80209,91904,"24370, 67706","10548, 17289, 98774, 73564, 35375, 30507, 65531",2512,"0060, 7549, 8088",700,33
2009-02-14,Quảng Ngãi,21930,04988,00121,"79200, 38048","29902, 12641, 52512, 55855, 05320, 39014, 58955",8372,"7979, 1819, 3293",328,71
2009-02-14,Đà Nẵng,78055,62456,90399,"79918, 27549","92536, 86026, 52813, 00374, 80932, 22199, 16181",0551,"3448, 9804, 9740",251,47
2009-02-14,Đắk Nông,45191,00311,29102,"24558, 63344","90796, 69140, 22843, 06603, 04524, 41333, 15297",4232,"6549, 4286, 7500",023,59
2009-02-15,Khánh Hòa,66703,24246,08230,"06606, 62581","29879, 78200, 61228, 28748, 93628, 99080, 42068",7122,"2978, 8224, 2445",953,83
2009-02-15,Kon Tum,49132,04218,29572,"88601, 12748","35192, 71029, 55379, 22154, 57237, 52066, 51872",8741,"8964, 6734, 3848",874,43
2009-02-16,Phú Yên,43759,49026,04298,"12005, 37046","40061, 43105, 46610, 47070, 24341, 10221, 46742",4778,"9402, 2442, 0434",208,71
2009-02-16,Thừa Thiên Huế,89480,07585,82502,"31500, 94759","55973, 30079, 03368, 14944, 66477, 08450, 92940",7354,"1289, 1065, 5786",424,88
2009-02-17,Quảng Nam,92931,86923,87743,"91797, 50481","36356, 83408, 72388, 16019, 00316, 75831, 32232",0391,"9297, 0827, 6829",845,53
2009-02-17,Đắk Lắk,70302,84142,21011,"52736, 60711","04003, 67867, 08975, 34657, 07926, 28337, 33412",2139,"9735, 0539, 4035",806,97
2009-02-18,Khánh Hòa,84087,01631,68877,"40003, 74215","11941, 03314, 50323, 13222, 98384, 56149, 77304",5565,"9136, 5987, 3223",942,77
2009-02-18,Đà Nẵng,58724,97125,91991,"64419, 62162","94407, 09432, 35058, 36628, 32191, 13261, 14381",8075,"8675, 9753, 0636",829,90
2009-02-19,Bình Định,97921,38503,77844,"95206, 58427","65355, 22597, 10345, 10696, 10464, 37849, 85161",1362,"0655, 8083, 4873",966,76
2009-02-19,Quảng Bình,45765,48027,97182,"15765, 91389","45212, 24368, 95292, 65787, 56043, 86678, 98546",5451,"8821, 0793, 6531",979,64
2009-02-19,Quảng Trị,96175,92132,36385,"89333, 84610","01553, 32091, 43832, 77898, 03175, 51531, 20233",0687,"8871, 7803, 5876",650,42
2009-02-20,Gia Lai,18638,05641,91994,"65874, 25556","73273, 56064, 06755, 81309, 54896, 03892, 97334",2042,"6749, 4328, 9739",638,74
2009-02-20,Ninh Thuận,72487,82562,86192,"65717, 68024","39491, 75490, 15317, 64311, 83685, 09736, 57891",8305,"8248, 3189, 2359",778,68
